radar_id,ExtID,adsb_callsign,adsb_hex,adsb_fr24_id,adsb_type,average_rcs,mean_mahalanobis,n_pairs,min_mahalanobis,max_mahalanobis,status,chunk,experiment
16669,384,RPA4993,A0345F,26ed7421,E75S,0.03,13.3732,48,11.952,14.3102,MATCH,rt_2021-02-26_15-12-25_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
20653,435,AMF8706,A71785,26ed5cbe,SW4,0.02,10.9494,44,10.2225,11.9149,MATCH,rt_2021-02-26_15-12-25_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
22107,449,N7336J,A9D963,26ed7111,P28A,0.01,8.4477,33,8.274,8.605,MATCH,rt_2021-02-26_15-12-25_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
26944,522,N425JB,A50EFC,26ed7577,C425,0.02,8.3451,61,7.3587,9.4161,MATCH,rt_2021-02-26_15-12-25_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
36577,662,N258KJ,A27620,26ed7b3a,SR22,0.02,10.3723,35,7.9201,12.1559,MATCH,rt_2021-02-26_15-12-25_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
37136,665,SIL75,A4C846,26ed7a8c,AT46,0.01,7.1352,57,5.4842,13.2532,MATCH,rt_2021-02-26_15-12-25_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
44059,748,SIL75,A4C846,26ed7a8c,AT46,0.04,9.2411,15,7.4831,10.6498,MATCH,rt_2021-02-26_15-18-30_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
55683,928,N320PW,A36FAA,26ed4ac5,PC12,0.16,25.4737,240,15.9963,30.7412,REJECTED,rt_2021-02-26_15-18-30_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
65129,1048,N258KJ,A27620,26ed7b3a,SR22,0.03,5.1212,66,1.4538,11.8253,MATCH,rt_2021-02-26_15-18-30_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
67503,1079,N258KJ,A27620,26ed7b3a,SR22,0.07,7.8244,23,6.0605,8.5167,MATCH,rt_2021-02-26_15-18-30_tracks_chunk_1,2021_02_26_Key_West_FL_US_MHR
10399,147,N414KS,A4E3EE,26ed700b,C414,0.06,2.2402,53,1.2663,3.0759,MATCH,rt_2021-02-26_15-34-47_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
21826,272,N930SR,ACE749,26ed6201,TBM9,0.0,5.6508,67,1.0965,15.1761,MATCH,rt_2021-02-26_15-34-47_tracks_chunk_0,2021_02_26_Key_West_FL_US_MHR
25428,325,N930SR,ACE749,26ed6201,TBM9,0.0,4.3645,81,3.3261,10.5954,MATCH,rt_2021-02-26_15-34-47_tracks_chunk_1,2021_02_26_Key_West_FL_US_MHR
26317,340,N414KS,A4E3EE,26ed700b,C414,0.01,13.1895,6,13.1076,13.2579,MATCH,rt_2021-02-26_15-34-47_tracks_chunk_1,2021_02_26_Key_West_FL_US_MHR
